gene_symbol,melanoma_post_delta,nsclc_post_delta,pred_direct_melanoma_delta,pred_manual_features,pred_geneformer_static_pca32,pred_scgpt_static_pca32,pred_geneformer_random_pca32,pred_scgpt_random_pca32,pred_manual_plus_geneformer_pca32,pred_manual_plus_scgpt_pca32,mean_tpm,fraction_positive_g120,baseline_responder_vs_nonresponder_log2_delta,post_responder_vs_nonresponder_log2_delta,n_cells_g120,n_patient_states,n_baseline_responder_states,n_baseline_nonresponder_states,mean_raw_count_per_cell,fraction_positive_g115,post_vs_naive_sample_logcpm_delta,cell_type_specificity_max_fraction,dominant_cell_type,n_cells_g115,n_samples,n_post_samples,n_naive_samples,nsclc_post_responder_vs_nonresponder_log2cpm_delta,nsclc_post_mean_log2cpm,nsclc_post_lesion_fraction_positive,nsclc_n_responder_lesions,nsclc_n_nonresponder_lesions,response_direction_concordant,response_transfer_score
ATP2C1,-0.1603576761902735,-0.6433208769956735,-0.1603576761902735,-0.10443482,-0.1219791,-0.11637368,-0.08271961,-0.0789201,-0.11632646,-0.12101842,0.9154723465020072,0.1646921613160641,-0.2095790241766792,-0.1603576761902735,16291,48,9,10,15.49596437517395,0.2580016699137211,0.1344390856786255,0.2477103764290102,CAF,7186,33,17,16,-0.6433208769956735,4.6586605521242,1.0,8,5,True,0.321187547827924
VPS37A,-0.2793598724748151,-0.36874539460616695,-0.2793598724748151,-0.1102335,-0.12970191,-0.19857372,-0.08878195,-0.07905928,-0.13193059,-0.20172599,1.1018660594337912,0.18261616843656,-0.1808727326422603,-0.2793598724748151,16291,48,9,10,19.889785694405788,0.2607848594489285,0.2124110029773782,0.1536867711227714,Macrophage,7186,33,17,16,-0.36874539460616695,4.9517050043593205,1.0,8,5,True,0.3209558636523941
CCT4,-0.2856769322545101,-0.3603661708499999,-0.2856769322545101,-0.179381,-0.22992355,-0.29603964,-0.08214673,-0.08964451,-0.23471302,-0.28736502,2.8771407518493093,0.3773862869068811,-0.2079926992575596,-0.2856769322545101,16291,48,9,10,126.60269969384916,0.5025048705816866,0.0106620037837679,0.2238515598561102,Mal,7186,33,17,16,-0.3603661708499999,7.831431495621614,1.0,8,5,True,0.32085557837870393
PAPSS2,-0.2606344498758895,-0.3946480157377432,-0.2606344498758895,-0.062347684,-0.10892231,-0.116912775,-0.089614674,-0.07969455,-0.09229532,-0.105156206,0.1826167825242884,0.0354797127248173,-0.178163677414249,-0.2606344498758895,16291,48,9,10,5.206373504035625,0.0606735318675201,-0.3951444405055078,0.5023992751960096,CAF,7186,33,17,16,-0.3946480157377432,1.059836641490344,1.0,8,5,True,0.3207161805653374
ALOX5,-0.2623637956410608,-0.3913982741898736,-0.2623637956410608,-0.096662745,-0.14003414,-0.26329476,-0.079741664,-0.09132659,-0.12295069,-0.24252021,0.8387453198354259,0.1351052728500399,0.0723288485733548,-0.2623637956410608,16291,48,9,10,20.390759810743116,0.1277483996660172,-0.5055117997220306,0.5523239246688982,Macrophage,7186,33,17,16,-0.3913982741898736,1.3039340284897458,1.0,8,5,True,0.3204508337074751
SIRT2,-0.259953053271676,-0.3945820600099239,-0.259953053271676,-0.14097434,-0.17344709,-0.20259999,-0.08868847,-0.08603221,-0.16182342,-0.2131153,1.5168381309121084,0.2531459087839912,-0.2877650143827517,-0.259953053271676,16291,48,9,10,28.752991928750347,0.2802671861953799,-0.2006691173824699,0.2758486928036531,CAF,7186,33,17,16,-0.3945820600099239,5.65074544734785,1.0,8,5,True,0.3202699037777471
MTHFD1L,-0.129449889617087,-0.791936696589953,-0.129449889617087,-0.0763739,-0.120789394,-0.13023657,-0.08857199,-0.08318177,-0.10550179,-0.12669492,0.2442538824020905,0.0497207046835676,-0.0683856599128147,-0.129449889617087,16291,48,9,10,3.6354021708878377,0.1237127748399666,-0.2203687274809831,0.2062300758187006,Endo.,7186,33,17,16,-0.791936696589953,3.4475492805647425,1.0,8,5,True,0.3201813829023948
LRRC59,-0.2079805375231952,-0.49251961529183763,-0.2079805375231952,-0.13691556,-0.22780745,-0.289106,-0.08425499,-0.0880139,-0.22223243,-0.28734902,0.9694186968849068,0.2088269596709839,-0.2968524566113701,-0.2079805375231952,16291,48,9,10,12.859031450041748,0.3395491232952964,-0.2338938640265131,0.2301244356106671,Mal,7186,33,17,16,-0.49251961529183763,5.890231554569215,1.0,8,5,True,0.32005389285105357
MRPS2,-0.3551317253101795,-0.28821098285226565,-0.3551317253101795,-0.08656159,-0.20093913,-0.22239004,-0.09046699,-0.08236452,-0.18611002,-0.2168785,0.7143091274283954,0.0994414093671352,-0.1745959521270773,-0.3551317253101795,16291,48,9,10,24.50779293069858,0.2264124686891177,0.0431736089608154,0.2376585614953183,Mal,7186,33,17,16,-0.28821098285226565,5.0906071736413825,1.0,8,5,True,0.3199263408875044
MRTO4,-0.2701433881822194,-0.37870082447632303,-0.2701433881822194,-0.12787846,-0.21334548,-0.24945231,-0.09238374,-0.079732925,-0.2179854,-0.26414397,0.4075943771961256,0.0703455895893438,-0.1913901188549043,-0.2701433881822194,16291,48,9,10,21.76983022543835,0.7293348177010854,-0.1972366477205387,0.2436979661636518,Mal,7186,33,17,16,-0.37870082447632303,4.512097799124846,1.0,8,5,True,0.31984922046400843
